"","formulae","accuracy"
"1084","dummy.living ~ top2tile + hollowness + avg_pixel_weight",0.76875
"6","dummy.living ~ nr_pix + height + neigh5",0.7625
"22","dummy.living ~ nr_pix + width + neigh1",0.7625
"69","dummy.living ~ nr_pix + cols_with_5 + left2tile",0.7625
"70","dummy.living ~ nr_pix + cols_with_5 + right2tile",0.7625
"93","dummy.living ~ nr_pix + neigh1 + avg_pixel_weight",0.7625
"181","dummy.living ~ height + width + bottom2tile",0.7625
"229","dummy.living ~ height + cols_with_5 + right_diagonals",0.7625
"275","dummy.living ~ height + right2tile + right_diagonals",0.7625
"315","dummy.living ~ height + right_diagonals + nr_regions",0.7625
"341","dummy.living ~ width + rows_with_5 + cols_with_5",0.7625
"369","dummy.living ~ width + cols_with_5 + avg_pixel_weight",0.7625
"371","dummy.living ~ width + neigh1 + left2tile",0.7625
"372","dummy.living ~ width + neigh1 + right2tile",0.7625
"391","dummy.living ~ width + neigh5 + nr_regions",0.7625
"456","dummy.living ~ width + nr_regions + hollowness",0.7625
"527","dummy.living ~ span + right2tile + top2tile",0.7625
"528","dummy.living ~ span + right2tile + bottom2tile",0.7625
"556","dummy.living ~ span + bottom2tile + nr_regions",0.7625
"599","dummy.living ~ rows_with_5 + neigh1 + top2tile",0.7625
"721","dummy.living ~ cols_with_5 + left2tile + avg_pixel_weight",0.7625
"748","dummy.living ~ cols_with_5 + top2tile + avg_pixel_weight",0.7625
"754","dummy.living ~ cols_with_5 + bottom2tile + hollowness",0.7625
"778","dummy.living ~ neigh1 + neigh5 + right2tile",0.7625
"891","dummy.living ~ neigh5 + top2tile + hollowness",0.7625
"898","dummy.living ~ neigh5 + bottom2tile + hollowness",0.7625
"73","dummy.living ~ nr_pix + cols_with_5 + bottom2tile",0.75625
"77","dummy.living ~ nr_pix + cols_with_5 + nr_regions",0.75625
"164","dummy.living ~ nr_pix + right_diagonals + hollowness",0.75625
"220","dummy.living ~ height + cols_with_5 + neigh1",0.75625
"224","dummy.living ~ height + cols_with_5 + verticalness",0.75625
"233","dummy.living ~ height + cols_with_5 + avg_pixel_weight",0.75625
"249","dummy.living ~ height + neigh5 + verticalness",0.75625
"250","dummy.living ~ height + neigh5 + top2tile",0.75625
"251","dummy.living ~ height + neigh5 + bottom2tile",0.75625
"317","dummy.living ~ height + right_diagonals + hollowness",0.75625
"318","dummy.living ~ height + right_diagonals + avg_pixel_weight",0.75625
"337","dummy.living ~ width + span + nr_regions",0.75625
"373","dummy.living ~ width + neigh1 + verticalness",0.75625
"375","dummy.living ~ width + neigh1 + bottom2tile",0.75625
"444","dummy.living ~ width + horizontalness + hollowness",0.75625
"461","dummy.living ~ span + rows_with_5 + cols_with_5",0.75625
"472","dummy.living ~ span + rows_with_5 + nr_regions",0.75625
"541","dummy.living ~ span + verticalness + nr_regions",0.75625
"720","dummy.living ~ cols_with_5 + left2tile + hollowness",0.75625
"730","dummy.living ~ cols_with_5 + right2tile + hollowness",0.75625
"747","dummy.living ~ cols_with_5 + top2tile + hollowness",0.75625
"769","dummy.living ~ cols_with_5 + right_diagonals + hollowness",0.75625
"773","dummy.living ~ cols_with_5 + nr_regions + avg_pixel_weight",0.75625
"813","dummy.living ~ neigh1 + verticalness + left_diagonals",0.75625
"843","dummy.living ~ neigh1 + left_diagonals + hollowness",0.75625
"881","dummy.living ~ neigh5 + verticalness + nr_regions",0.75625
"909","dummy.living ~ neigh5 + left_diagonals + hollowness",0.75625
"1082","dummy.living ~ top2tile + nr_eyes + hollowness",0.75625
"1103","dummy.living ~ bottom2tile + nr_eyes + hollowness",0.75625
"88","dummy.living ~ nr_pix + neigh1 + left_diagonals",0.75
"176","dummy.living ~ height + width + neigh5",0.75
"180","dummy.living ~ height + width + top2tile",0.75
"227","dummy.living ~ height + cols_with_5 + horizontalness",0.75
"247","dummy.living ~ height + neigh5 + left2tile",0.75
"265","dummy.living ~ height + left2tile + right_diagonals",0.75
"575","dummy.living ~ span + nr_regions + nr_eyes",0.75
"654","dummy.living ~ rows_with_5 + top2tile + nr_regions",0.75
"661","dummy.living ~ rows_with_5 + bottom2tile + nr_regions",0.75
